Player,Team,Type,M,Inn,B,Runs,Wkts,BBI,BBM,Econ,Avg,SR,5W,10W
Mitchell Santner,New-Zealand,T20,48,47,953,1190,54,04-Nov,04-Nov,7.49,22.04,17.65,0,0
Tom Latham,New-Zealand,T20,13,0,0,0,0,0,0,0,0,0,0,0
Tom Blundell,New-Zealand,T20,3,0,0,0,0,0,0,0,0,0,0,0
Trent Boult,New-Zealand,T20,29,29,641,930,39,Apr-34,Apr-34,8.71,23.85,16.44,0,0
Matt Henry,New-Zealand,T20,6,6,132,191,7,Mar-44,Mar-44,8.68,27.29,18.86,0,0
Tim Southee,New-Zealand,T20,74,72,1584,2223,87,May-18,May-18,8.42,25.55,18.21,1,0
Ish Sodhi,New-Zealand,T20,50,48,1023,1367,56,Mar-18,Mar-18,8.02,24.41,18.27,0,0
Lockie Ferguson,New-Zealand,T20,11,11,240,278,21,May-21,May-21,6.95,13.24,11.43,1,0
Hashmatullah Shahidi,Afghanistan,T20,0,0,0,0,0,0,0,0,0,0,0,0
Hazratullah Zazai,Afghanistan,T20,15,0,0,0,0,0,0,0,0,0,0,0
Najibullah Zadran,Afghanistan,T20,60,0,0,0,0,0,0,0,0,0,0,0
Noor Ali Zadran,Afghanistan,T20,19,0,0,0,0,0,0,0,0,0,0,0
Rahmat Shah,Afghanistan,T20,0,0,0,0,0,0,0,0,0,0,0,0
Samiullah Shinwari,Afghanistan,T20,63,37,600,671,25,May-13,May-13,6.71,26.84,24,1,0
Gulbadin Naib,Afghanistan,T20,48,31,450,621,17,Feb-24,Feb-24,8.28,36.53,26.47,0,0
Mohammad Nabi,Afghanistan,T20,77,76,1540,1857,69,04-Oct,04-Oct,7.24,26.91,22.32,0,0
Mohammad Shahzad,Afghanistan,T20,64,0,0,0,0,0,0,0,0,0,0,0
Aftab Alam,Afghanistan,T20,13,13,269,349,15,Apr-25,Apr-25,7.78,23.27,17.93,0,0
Dawlat Zadran,Afghanistan,T20,34,34,736,950,43,Apr-44,Apr-44,7.74,22.09,17.12,0,0
Hamid Hassan,Afghanistan,T20,21,21,460,519,29,Apr-22,Apr-22,6.77,17.9,15.86,0,0
